STN,Date,Hour,Mean Wind Direction,Hourly Mean Wind Speed (m/s),Mean Wind Speed (m/s),Maximum Wind Gust (m/s),Temperature (degrees Celsius),Dew Point Temperature (degrees Celsius),Sunshine Duration (0.1 hour),Global Radiation (J/cm2),Precipitation Duration (0.1 hour),Hourly Precipitation Amount (mm),Air Pressure (hPa),Horizontal Visibility,Cloud Cover (octants),Relative Atmospheric Humidity (%),Indicator Present Weather Code,Fog,Rainfall,Snow,Thunder,Ice Formation
370,2022-01-01,1,220,5.0,5.0,6.0,12.6,11.1,0,0,0,0.0,1023.5,62,    8,90,5,0,0,0,0,0
370,2022-01-01,3,200,4.0,4.0,6.0,12.8,11.1,0,0,0,0.0,1023.6,62,    8,89,5,0,0,0,0,0
370,2022-01-01,4,200,4.0,5.0,7.0,12.9,10.7,0,0,0,0.0,1023.2,66,    8,86,5,0,0,0,0,0
370,2022-01-01,5,210,4.0,3.0,8.0,12.5,10.5,0,0,0,0.0,1023.6,68,    8,87,5,0,0,0,0,0
370,2022-01-01,6,210,4.0,5.0,7.0,12.7,10.3,0,0,0,0.0,1023.7,69,    8,85,5,0,0,0,0,0
370,2022-01-01,7,190,4.0,3.0,6.0,11.7,9.5,0,0,0,0.0,1023.7,70,    4,86,5,0,0,0,0,0
370,2022-01-01,8,180,4.0,3.0,6.0,12.1,9.6,0,1,0,0.0,1024.1,70,    8,84,5,0,0,0,0,0
370,2022-01-01,9,190,3.0,4.0,6.0,11.9,9.5,0,11,0,0.0,1024.2,70,    8,85,5,0,0,0,0,0
370,2022-01-01,10,190,4.0,4.0,6.0,11.8,9.5,0,27,0,0.0,1023.9,70,    8,85,5,0,0,0,0,0
370,2022-01-01,11,180,4.0,5.0,7.0,12.5,9.8,2,45,0,0.0,1023.0,70,    8,83,5,0,0,0,0,0
370,2022-01-01,12,200,4.0,4.0,8.0,13.1,10.1,2,56,0,0.0,1023.0,70,    8,82,5,0,0,0,0,0
370,2022-01-01,13,190,4.0,4.0,7.0,14.0,10.6,7,54,0,0.0,1022.5,75,    8,80,5,0,0,0,0,0
370,2022-01-01,14,180,4.0,4.0,7.0,14.0,10.5,7,44,0,0.0,1021.8,75,    8,79,5,0,0,0,0,0
370,2022-01-01,15,180,3.0,3.0,6.0,13.4,10.4,8,18,0,0.0,1022.0,70,    8,81,5,0,0,0,0,0
370,2022-01-01,16,170,4.0,5.0,7.0,13.1,10.2,0,2,0,0.0,1021.2,70,    8,82,5,0,0,0,0,0
370,2022-01-01,17,180,5.0,4.0,8.0,12.8,10.1,0,0,0,0.0,1020.7,70,    8,83,5,0,0,0,0,0
370,2022-01-01,18,180,4.0,4.0,8.0,12.4,9.9,0,0,0,0.0,1020.2,70,    8,85,5,0,0,0,0,0
370,2022-01-01,19,170,4.0,4.0,6.0,12.0,9.7,0,0,0,0.0,1020.0,70,    8,85,5,0,0,0,0,0
370,2022-01-01,20,180,4.0,5.0,7.0,12.3,9.4,0,0,0,0.0,1019.6,70,    8,82,5,0,0,0,0,0
370,2022-01-01,21,190,5.0,5.0,8.0,12.0,9.1,0,0,0,0.0,1019.3,70,    8,82,5,0,0,0,0,0
